timestamp,mqtt_messages,websocket_messages,db_inserts,skipped,errors,success_rate
2025-05-03T10:36:19.964Z,33,180,213,0,0,100.00
2025-05-03T10:36:49.964Z,63,360,423,0,0,100.00
2025-05-03T10:37:19.965Z,93,540,633,0,0,100.00
2025-05-03T10:37:49.966Z,123,720,843,0,0,100.00
2025-05-03T10:38:19.967Z,153,895,1047,0,0,99.90
2025-05-03T10:38:49.970Z,182,1074,1256,0,0,100.00
2025-05-03T10:39:19.976Z,212,1254,1466,0,0,100.00
2025-05-03T10:39:49.976Z,242,1434,1676,0,0,100.00
2025-05-03T10:40:19.977Z,272,1614,1886,0,0,100.00
2025-05-03T10:40:49.978Z,302,1794,2096,0,0,100.00
2025-05-03T10:41:19.984Z,332,1968,2299,0,0,99.96
2025-05-03T10:41:49.990Z,361,2148,2509,0,0,100.00
2025-05-03T10:42:19.992Z,391,2328,2719,0,0,100.00
2025-05-03T10:42:50.007Z,421,2508,2929,0,0,100.00
2025-05-03T10:43:20.008Z,451,2688,3139,0,0,100.00
2025-05-03T10:43:50.010Z,481,2868,3349,0,0,100.00
2025-05-03T10:44:20.010Z,510,3042,3552,0,0,100.00
2025-05-03T10:44:50.017Z,540,3222,3762,0,0,100.00
2025-05-03T10:45:20.025Z,570,3402,3972,0,0,100.00
2025-05-03T10:45:50.033Z,600,3582,4182,0,0,100.00
2025-05-03T10:46:20.041Z,630,3762,4392,0,0,100.00
2025-05-03T10:46:50.045Z,660,3942,4602,0,0,100.00
2025-05-03T10:47:20.046Z,690,4116,4806,0,0,100.00
2025-05-03T10:47:50.054Z,719,4296,5015,0,0,100.00
2025-05-03T10:48:20.064Z,749,4476,5225,0,0,100.00
2025-05-03T10:48:50.070Z,779,4656,5435,0,0,100.00
2025-05-03T10:49:20.079Z,809,4836,5645,0,0,100.00
2025-05-03T10:49:50.088Z,839,5016,5855,0,0,100.00
2025-05-03T10:50:20.090Z,869,5190,6059,0,0,100.00
2025-05-03T10:50:50.094Z,898,5370,6268,0,0,100.00
2025-05-03T10:51:20.096Z,928,5550,6478,0,0,100.00
2025-05-03T10:51:50.095Z,958,5730,6688,0,0,100.00
2025-05-03T10:52:20.095Z,988,5910,6898,0,0,100.00
2025-05-03T10:52:50.101Z,1018,6090,7108,0,0,100.00
2025-05-03T10:53:20.117Z,1048,6270,7318,0,0,100.00
2025-05-03T10:53:50.119Z,1078,6450,7528,0,0,100.00
2025-05-03T10:54:20.119Z,1107,6624,7731,0,0,100.00
2025-05-03T10:54:50.120Z,1137,6804,7941,0,0,100.00
2025-05-03T10:55:20.126Z,1167,6984,8151,0,0,100.00
2025-05-03T10:55:50.135Z,1197,7164,8361,0,0,100.00
2025-05-03T10:56:20.139Z,1227,7344,8571,0,0,100.00
2025-05-03T10:56:50.148Z,1257,7524,8781,0,0,100.00
2025-05-03T10:57:20.155Z,1287,7699,8985,0,0,99.99
2025-05-03T10:57:50.156Z,1316,7878,9194,0,0,100.00
2025-05-03T10:58:20.160Z,1346,8058,9404,0,0,100.00
2025-05-03T10:58:50.161Z,1376,8238,9614,0,0,100.00
2025-05-03T10:59:20.162Z,1406,8418,9824,0,0,100.00
2025-05-03T10:59:50.174Z,1436,8598,10034,0,0,100.00
2025-05-03T11:00:20.189Z,1466,8778,10244,0,0,100.00
2025-05-03T11:00:50.191Z,1496,8952,10447,0,0,99.99
2025-05-03T11:01:20.204Z,1525,9132,10657,0,0,100.00
2025-05-03T11:01:50.204Z,1555,9312,10867,0,0,100.00
2025-05-03T11:02:20.205Z,1585,9492,11077,0,0,100.00
2025-05-03T11:02:50.206Z,1615,9672,11287,0,0,100.00
2025-05-03T11:03:20.217Z,1645,9847,11491,0,0,99.99
2025-05-03T11:03:50.224Z,1674,10026,11700,0,0,100.00
2025-05-03T11:04:20.228Z,1704,10206,11910,0,0,100.00
2025-05-03T11:04:50.235Z,1734,10386,12120,0,0,100.00
2025-05-03T11:05:20.245Z,1764,10566,12330,0,0,100.00
2025-05-03T11:05:50.245Z,1794,10746,12540,0,0,100.00
2025-05-03T11:06:20.259Z,1824,10921,12744,0,0,99.99
2025-05-03T11:06:50.260Z,1853,11100,12953,0,0,100.00
2025-05-03T11:07:20.260Z,1883,11280,13163,0,0,100.00
2025-05-03T11:07:50.266Z,1913,11460,13373,0,0,100.00
2025-05-03T11:08:20.277Z,1943,11640,13583,0,0,100.00
2025-05-03T11:08:50.278Z,1973,11820,13793,0,0,100.00
2025-05-03T11:09:20.283Z,2003,12000,14003,0,0,100.00
2025-05-03T11:09:50.286Z,2033,12180,14213,0,0,100.00
2025-05-03T11:10:20.293Z,2063,12360,14418,0,0,99.97
2025-05-03T11:10:50.298Z,2092,12534,14626,0,0,100.00
2025-05-03T11:11:20.311Z,2122,12714,14836,0,0,100.00
2025-05-03T11:11:50.311Z,2152,12894,15046,0,0,100.00
